# C380-221 CERTIFICATE (official, batch 1)
# initial division N0=4 (h=pi/4); bisection: longest edge, tie-break a,b,c
# depth cap 12; outward inflation 1e-12; strict criterion L > 1/2
# a1 a2 b1 b2 c1 c2 witness_q certified_lower_bound
2.5525440310417071 2.6507188014663878 1.9634954084936207 2.1598449493429825 3.043417883165112 3.1415926535897931 3 0.65172478435569703
2.6507188014663878 2.748893571891069 1.9634954084936207 2.1598449493429825 2.9452431127404308 3.043417883165112 2 0.62080643616893494
2.5525440310417071 2.6507188014663878 1.9634954084936207 2.1598449493429825 2.9452431127404308 3.043417883165112 3 0.69478444862319833
2.6507188014663878 2.748893571891069 1.9634954084936207 2.1598449493429825 2.748893571891069 2.9452431127404308 9 1.5410265412454995
2.5525440310417071 2.6507188014663878 1.9634954084936207 2.1598449493429825 2.748893571891069 2.9452431127404308 3 0.82025517205259735
2.3561944901923448 2.5525440310417071 1.9634954084936207 2.3561944901923448 2.748893571891069 3.1415926535897931 3 0.80439420639697512
2.5525440310417071 2.748893571891069 2.1598449493429825 2.3561944901923448 2.3561944901923448 2.748893571891069 5 0.75786965305327902
2.5525440310417071 2.748893571891069 1.9634954084936207 2.1598449493429825 2.3561944901923448 2.748893571891069 3 0.69970876791876613
2.3561944901923448 2.5525440310417071 1.9634954084936207 2.3561944901923448 2.3561944901923448 2.748893571891069 3 1.4217107740309614
2.5525440310417071 2.748893571891069 1.7671458676442586 1.9634954084936207 2.748893571891069 3.1415926535897931 7 0.87650733076088239
2.5525440310417071 2.748893571891069 1.5707963267948966 1.7671458676442586 2.9452431127404308 3.1415926535897931 4 0.70710678117801196
2.5525440310417071 2.748893571891069 1.5707963267948966 1.7671458676442586 2.748893571891069 2.9452431127404308 7 0.91605014401344365
2.3561944901923448 2.5525440310417071 1.7671458676442586 1.9634954084936207 2.748893571891069 3.1415926535897931 3 0.50132111006283453
2.454369260617026 2.5525440310417071 1.5707963267948966 1.7671458676442586 3.043417883165112 3.1415926535897931 8 0.70710678117684267
2.5034566458293668 2.5525440310417071 1.6689710972195777 1.7671458676442586 2.9452431127404308 3.043417883165112 7 0.98173647476197212
2.454369260617026 2.5034566458293668 1.6689710972195777 1.7671458676442586 2.9452431127404308 3.043417883165112 8 0.76536686472033066
2.454369260617026 2.5525440310417071 1.5707963267948966 1.6689710972195777 2.9452431127404308 3.043417883165112 4 0.70710678117930847
2.3561944901923448 2.454369260617026 1.5707963267948966 1.7671458676442586 2.9452431127404308 3.1415926535897931 8 1.4142135623636829
2.454369260617026 2.5525440310417071 1.6689710972195777 1.7671458676442586 2.748893571891069 2.9452431127404308 7 0.8776619656425364
2.454369260617026 2.5525440310417071 1.5707963267948966 1.6689710972195777 2.8470683423157501 2.9452431127404308 8 0.70710678117742831
2.454369260617026 2.5525440310417071 1.5707963267948966 1.6689710972195777 2.748893571891069 2.8470683423157501 5 0.87307005747452193
2.3561944901923448 2.454369260617026 1.6689710972195777 1.7671458676442586 2.748893571891069 2.9452431127404308 3 0.69189321584914409
